Index,ISBN,Companies,Product Price,Product Type,Product Link,Currency
0,9780593083888,Amazon KSA,94.89,Hardcover,https://www.amazon.sa/-/en/Myth-Normal-Illness-Healing-Culture/dp/0593083881/ref=sr_1_1?crid=1PIFPV46W5ZQE&dib=eyJ2IjoiMSJ9.wtJuc0HluzJA6itkZjUmMg.eFTlBMV-Lebl_vQlXFwDWe-1FS-U8U_FYkpIImnZpMc&dib_tag=se&keywords=9780593083888&qid=1737791512&sprefix=9780593083888%2Caps%2C807&sr=8-1,SAR
1,9780593083888,Amazon KSA,90,Paperback,https://www.amazon.sa/-/en/Myth-Normal-Illness-Healing-Culture/dp/0593083881/ref=sr_1_1?crid=1PIFPV46W5ZQE&dib=eyJ2IjoiMSJ9.wtJuc0HluzJA6itkZjUmMg.eFTlBMV-Lebl_vQlXFwDWe-1FS-U8U_FYkpIImnZpMc&dib_tag=se&keywords=9780593083888&qid=1737791512&sprefix=9780593083888%2Caps%2C807&sr=8-1,SAR
2,9781612681139,Amazon KSA,42.48,Mass Market Paperback,https://www.amazon.sa/-/en/Plata-Publishing-Rich-Dad-Poor/dp/1612681131/ref=sr_1_1?crid=2OS31V47CHSV9&dib=eyJ2IjoiMSJ9.yxEReTGEXUo9fsk19As3Gg.n4xlnUaGq9ZCGxjDXIF0w_cl1fBaFP1SiHMbm-RvdMk&dib_tag=se&keywords=9781612681139&qid=1737791604&sprefix=9781612681139%2Caps%2C2731&sr=8-1,SAR
3,9781612681139,Amazon KSA,21.46,Audio CD,https://www.amazon.sa/-/en/Plata-Publishing-Rich-Dad-Poor/dp/1612681131/ref=sr_1_1?crid=2OS31V47CHSV9&dib=eyJ2IjoiMSJ9.yxEReTGEXUo9fsk19As3Gg.n4xlnUaGq9ZCGxjDXIF0w_cl1fBaFP1SiHMbm-RvdMk&dib_tag=se&keywords=9781612681139&qid=1737791604&sprefix=9781612681139%2Caps%2C2731&sr=8-1,SAR
0,9780593083888,Amazon UK,9.99,Kindle Edition,https://www.amazon.co.uk/Myth-Normal-Illness-Healing-Culture/dp/B09MJDT7GG/ref=sr_1_1?crid=3DZ7YYQVDV4UH&dib=eyJ2IjoiMSJ9.g_hxHJPwwIgwcl8snpNZBA.dLpfdDFS495DeJZEhSorM_4YKmLkCOGdLDCx6HDvzxQ&dib_tag=se&keywords=9780593083888&qid=1737791502&sprefix=9780593083888%2Caps%2C428&sr=8-1,£
1,9780593083888,Amazon UK,0,Audiobook,https://www.amazon.co.uk/Myth-Normal-Illness-Healing-Culture/dp/B09MJDT7GG/ref=sr_1_1?crid=3DZ7YYQVDV4UH&dib=eyJ2IjoiMSJ9.g_hxHJPwwIgwcl8snpNZBA.dLpfdDFS495DeJZEhSorM_4YKmLkCOGdLDCx6HDvzxQ&dib_tag=se&keywords=9780593083888&qid=1737791502&sprefix=9780593083888%2Caps%2C428&sr=8-1,£
2,9780593083888,Amazon UK,21.49,Hardcover,https://www.amazon.co.uk/Myth-Normal-Illness-Healing-Culture/dp/B09MJDT7GG/ref=sr_1_1?crid=3DZ7YYQVDV4UH&dib=eyJ2IjoiMSJ9.g_hxHJPwwIgwcl8snpNZBA.dLpfdDFS495DeJZEhSorM_4YKmLkCOGdLDCx6HDvzxQ&dib_tag=se&keywords=9780593083888&qid=1737791502&sprefix=9780593083888%2Caps%2C428&sr=8-1,£
3,9780593083888,Amazon UK,9.49,Paperback,https://www.amazon.co.uk/Myth-Normal-Illness-Healing-Culture/dp/B09MJDT7GG/ref=sr_1_1?crid=3DZ7YYQVDV4UH&dib=eyJ2IjoiMSJ9.g_hxHJPwwIgwcl8snpNZBA.dLpfdDFS495DeJZEhSorM_4YKmLkCOGdLDCx6HDvzxQ&dib_tag=se&keywords=9780593083888&qid=1737791502&sprefix=9780593083888%2Caps%2C428&sr=8-1,£
0,9780593083888,Barnesandnoble,32,Hardcover,,$
1,9780593083888,Barnesandnoble,9.99,eBook,,$
2,9781612681139,Barnesandnoble,9.99,Paperback,,$
3,9781612681139,Barnesandnoble,8.99,eBook,,$
4,9781612681139,Barnesandnoble,35.99,Audiobook,,$
5,9781612681139,Barnesandnoble,14.99,Audio MP3 on CD,,$
6,9781612681139,Barnesandnoble,24.99,Audio CD,,$
0,9781612681139,Kinokuniya UAE,38.25,English Books (Paperback),https://uae.kinokuniya.com/bw/9781612681139,AED
